sample,group,short_reads_1,short_reads_2,long_reads,short_reads_platform,long_reads_platform
F1,0,az://seqera/raw/miso/batch2/F1_1.fq.gz,az://seqera/raw/miso/batch2/F1_2.fq.gz,,ILLUMINA,
F2,0,az://seqera/raw/miso/batch2/F2_1.fq.gz,az://seqera/raw/miso/batch2/F2_2.fq.gz,,ILLUMINA,
F3,0,az://seqera/raw/miso/batch2/F3_1.fq.gz,az://seqera/raw/miso/batch2/F3_2.fq.gz,,ILLUMINA,
F4,0,az://seqera/raw/miso/batch2/F4_1.fq.gz,az://seqera/raw/miso/batch2/F4_2.fq.gz,,ILLUMINA,
F5,0,az://seqera/raw/miso/batch2/F5_1.fq.gz,az://seqera/raw/miso/batch2/F5_2.fq.gz,,ILLUMINA,
F6,0,az://seqera/raw/miso/batch2/F6_1.fq.gz,az://seqera/raw/miso/batch2/F6_2.fq.gz,,ILLUMINA,
F7,0,az://seqera/raw/miso/batch2/F7_1.fq.gz,az://seqera/raw/miso/batch2/F7_2.fq.gz,,ILLUMINA,
F8,0,az://seqera/raw/miso/batch2/F8_1.fq.gz,az://seqera/raw/miso/batch2/F8_2.fq.gz,,ILLUMINA,
S1,0,az://seqera/raw/miso/batch2/S1_1.fq.gz,az://seqera/raw/miso/batch2/S1_2.fq.gz,,ILLUMINA,
S2,0,az://seqera/raw/miso/batch2/S2_1.fq.gz,az://seqera/raw/miso/batch2/S2_2.fq.gz,,ILLUMINA,
S3,0,az://seqera/raw/miso/batch2/S3_1.fq.gz,az://seqera/raw/miso/batch2/S3_2.fq.gz,,ILLUMINA,
S5,0,az://seqera/raw/miso/batch2/S5_1.fq.gz,az://seqera/raw/miso/batch2/S5_2.fq.gz,,ILLUMINA,
S6,0,az://seqera/raw/miso/batch2/S6_1.fq.gz,az://seqera/raw/miso/batch2/S6_2.fq.gz,,ILLUMINA,
S7,0,az://seqera/raw/miso/batch2/S7_1.fq.gz,az://seqera/raw/miso/batch2/S7_2.fq.gz,,ILLUMINA,
S8,0,az://seqera/raw/miso/batch2/S8_1.fq.gz,az://seqera/raw/miso/batch2/S8_2.fq.gz,,ILLUMINA,